"countyfip","statefip","county","state","countyname","povn","povn_lo","povn_hi","pov","pov_lo","pov_hi","margin"
"0000",0,0,"US","United States",48810868,48554692,49067044,0.158,0.157,0.159,0.001
"1000",1,0,"AL","Alabama",889091,873141,905041,0.189,0.186,0.192,0.00299999999999995
"2000",2,0,"AK","Alaska",72643,69056,76230,0.101,0.096,0.106,0.00499999999999999
"4000",4,0,"AZ","Arizona",1206948,1184107,1229789,0.186,0.182,0.19,0.00400000000000003
"5000",5,0,"AR","Arkansas",557399,545273,569525,0.194,0.19,0.198,0.00399999999999998
"6000",6,0,"CA","California",6328064,6276939,6379189,0.168,0.167,0.169,0.00100000000000003
"8000",8,0,"CO","Colorado",665351,650221,680481,0.129,0.126,0.132,0.003
"9000",9,0,"CT","Connecticut",373387,362267,384507,0.107,0.104,0.11,0.00299999999999999
"10000",10,0,"DE","Delaware",115774,109967,121581,0.129,0.123,0.135,0.00599999999999999
"11000",11,0,"DC","District of Columbia",115096,109640,120552,0.188,0.179,0.197,0.00900000000000001
"12000",12,0,"FL","Florida",3268130,3223891,3312369,0.171,0.169,0.173,0.00200000000000003
"13000",13,0,"GA","Georgia",1849944,1823426,1876462,0.19,0.187,0.193,0.003
"15000",15,0,"HI","Hawaii",153375,146661,160089,0.112,0.107,0.117,0.00499999999999999
"16000",16,0,"ID","Idaho",246708,237342,256074,0.156,0.15,0.162,0.00600000000000001
"17000",17,0,"IL","Illinois",1841996,1815888,1868104,0.146,0.144,0.148,0.00199999999999997
"18000",18,0,"IN","Indiana",1008411,990634,1026188,0.158,0.155,0.161,0.003
"19000",19,0,"IA","Iowa",377037,367316,386758,0.126,0.123,0.129,0.00299999999999999
"20000",20,0,"KS","Kansas",391718,380565,402871,0.139,0.135,0.143,0.004
"21000",21,0,"KY","Kentucky",803044,788501,817587,0.188,0.185,0.191,0.003
"22000",22,0,"LA","Louisiana",897284,879370,915198,0.2,0.196,0.204,0.004
"23000",23,0,"ME","Maine",181386,175125,187647,0.14,0.135,0.145,0.005
"24000",24,0,"MD","Maryland",591457,576662,606252,0.102,0.099,0.105,0.00299999999999999
"25000",25,0,"MA","Massachusetts",770922,753652,788192,0.119,0.116,0.122,0.00300000000000002
"26000",26,0,"MI","Michigan",1646038,1625685,1666391,0.17,0.168,0.172,0.002
"27000",27,0,"MN","Minnesota",592526,580125,604927,0.112,0.11,0.114,0.00199999999999999
"28000",28,0,"MS","Mississippi",692058,677339,706777,0.239,0.234,0.244,0.005
"29000",29,0,"MO","Missouri",928778,910924,946632,0.158,0.155,0.161,0.003
"30000",30,0,"MT","Montana",159248,153605,164891,0.161,0.155,0.167,0.00600000000000001
"31000",31,0,"NE","Nebraska",234742,227326,242158,0.129,0.125,0.133,0.004
"32000",32,0,"NV","Nevada",433267,421242,445292,0.158,0.154,0.162,0.004
"33000",33,0,"NH","New Hampshire",115146,108939,121353,0.09,0.085,0.095,0.00499999999999999
"34000",34,0,"NJ","New Jersey",995390,975579,1015201,0.114,0.112,0.116,0.00200000000000002
"35000",35,0,"NM","New Mexico",437923,427727,448119,0.214,0.209,0.219,0.005
"36000",36,0,"NY","New York",3068230,3034387,3102073,0.16,0.158,0.162,0.002
"37000",37,0,"NC","North Carolina",1711331,1687683,1734979,0.178,0.176,0.18,0.002
"38000",38,0,"ND","North Dakota",81055,77449,84661,0.116,0.111,0.121,0.00499999999999999
"39000",39,0,"OH","Ohio",1793523,1767288,1819758,0.159,0.157,0.161,0.002
"40000",40,0,"OK","Oklahoma",624209,613045,635373,0.167,0.164,0.17,0.003
"41000",41,0,"OR","Oregon",637505,622246,652764,0.165,0.161,0.169,0.004
"42000",42,0,"PA","Pennsylvania",1687854,1660532,1715176,0.137,0.135,0.139,0.00199999999999997
"44000",44,0,"RI","Rhode Island",148275,142320,154230,0.147,0.141,0.153,0.00600000000000001
"45000",45,0,"SC","South Carolina",858553,842448,874658,0.185,0.182,0.188,0.003
"46000",46,0,"SD","South Dakota",114291,109648,118934,0.14,0.134,0.146,0.00600000000000001
"47000",47,0,"TN","Tennessee",1128618,1109156,1148080,0.178,0.175,0.181,0.00300000000000003
"48000",48,0,"TX","Texas",4531427,4484570,4578284,0.175,0.173,0.177,0.00199999999999997
"49000",49,0,"UT","Utah",360119,348648,371590,0.126,0.122,0.13,0.004
"50000",50,0,"VT","Vermont",73947,70551,77343,0.123,0.117,0.129,0.00600000000000002
"51000",51,0,"VA","Virginia",941059,922345,959773,0.117,0.115,0.119,0.00199999999999999
"53000",53,0,"WA","Washington",963088,943843,982333,0.141,0.138,0.144,0.00299999999999997
"54000",54,0,"WV","West Virginia",331674,322877,340471,0.184,0.179,0.189,0.005
"55000",55,0,"WI","Wisconsin",753709,740179,767239,0.135,0.133,0.137,0.002
"56000",56,0,"WY","Wyoming",62118,58341,65895,0.109,0.102,0.116,0.00700000000000001
